BehaviorSpace results (NetLogo 6.3.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abm_milk_choice_upload.nlogo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
experiment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/24/2024 16:11:43:703 +0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,,,,,,,,
-25,25,-25,25,,,,,,,,,,,,,,,,,,,,,,,,,,
[run number],habit-threshold,memory-lifetime,p-interact,incumbent-initial-habit,social-blindness,cognitive-dissonance-threshold,network-parameter,social-conformity,social-susceptibility,justification,oat-health-mean-initial,oat-env-mean-initial,soy-health-mean-initial,soy-env-mean-initial,almond-health-mean-initial,almond-env-mean-initial,[step],count turtles with [color = red],count turtles with [color = green],count turtles with [color = white],count turtles with [color = yellow],mean-health-impact,mean-env-impact,total-milk,initial,mean-incum,mean-oat,mean-almond,mean-soy
19,8,5,0.6,8,0.4,0,8,-0.6,0.8,0.9,1,1,1,1,1,1,19,281,265,150,304,19.0052729015484,2.78866137243472,43875237.2900014,2300000,484.169813899274,493.459243008525,486.290686021527,488.785367070673
20,8,5,0.6,8,0.4,0,8,-0.6,1,0.9,1,1,1,1,1,1,7,730,111,60,99,32.2235271497608,4.78794723591325,18730263.8499997,2300000,1211.68049784395,378.413282664136,376.533960696349,374.497898795571
9,8,5,0.6,8,0,0.4,8,-1,0.8,0.9,1,1,1,1,1,1,22,134,360,123,383,18.9077992257743,2.77472349244732,49735058.19,2300000,492.240259069469,477.589473735678,469.196893694921,475.406453499932
3,8,5,0.6,8,0,0,8,-0.6,0.8,0.9,1,1,1,1,1,1,13,419,214,96,271,20.5463634949225,3.01640999175703,31970320.3499999,2300000,528.096967463169,530.769857950822,522.918374292788,519.560010293221
16,8,5,0.6,8,0,0.4,10,-0.6,1,0.9,1,1,1,1,1,1,0,1000,0,0,0,29650,6488.07,2300000,2300000,2000,100,100,100
20,8,5,0.6,8,0.4,0,8,-0.6,1,0.9,1,1,1,1,1,1,8,609,157,87,147,27.396909492385,4.05094058259589,21027360.4199996,2300000,905.945480101608,465.246462226406,460.342967308891,465.561660363095
19,8,5,0.6,8,0.4,0,8,-0.6,0.8,0.9,1,1,1,1,1,1,20,284,292,117,307,18.8691904867355,2.76720943797622,45798472.349998,2300000,485.657628665453,485.23673659335,473.639414644102,478.701280097095
3,8,5,0.6,8,0,0,8,-0.6,0.8,0.9,1,1,1,1,1,1,14,369,216,116,299,20.0039134579625,2.93790825807431,34034055.6300016,2300000,508.023347876689,521.267408672736,518.791387586736,515.65313586384
9,8,5,0.6,8,0,0.4,8,-1,0.8,0.9,1,1,1,1,1,1,23,126,355,123,396,18.4500362465935,2.70774998414312,51598750.3400002,2300000,482.17142155973,465.592752451437,456.188883733496,459.739092255336
20,8,5,0.6,8,0.4,0,8,-0.6,1,0.9,1,1,1,1,1,1,9,542,170,106,182,23.7831341000852,3.50083551050523,23305478.2099999,2300000,672.785548222571,534.531245545194,531.793084621911,539.007911610324
3,8,5,0.6,8,0,0,8,-0.6,0.8,0.9,1,1,1,1,1,1,15,384,226,88,302,19.869146403671,2.91649682009905,36068131.390003,2300000,509.818480261099,516.329417321681,506.775619577854,501.152242839365
19,8,5,0.6,8,0.4,0,8,-0.6,0.8,0.9,1,1,1,1,1,1,21,249,284,139,328,18.9209823352508,2.77924845992349,47732974.4200009,2300000,487.094059039135,483.894975842629,481.593138300086,481.919896818149
9,8,5,0.6,8,0,0.4,8,-1,0.8,0.9,1,1,1,1,1,1,24,111,359,120,410,18.4254679206362,2.70247795405211,53462169.2999989,2300000,479.734118508445,466.321432602269,454.964104653693,462.399304235594
16,8,5,0.6,8,0,0.4,10,-0.6,1,0.9,1,1,1,1,1,1,1,972,9,15,4,43.1209971357901,6.45377641508587,4613683.8,2300000,2000,100,100,100
3,8,5,0.6,8,0,0,8,-0.6,0.8,0.9,1,1,1,1,1,1,16,323,245,112,320,19.355766647472,2.84339542027919,38069187.9300037,2300000,490.570130274466,508.11064143802,505.458286790578,496.917481496936
20,8,5,0.6,8,0.4,0,8,-0.6,1,0.9,1,1,1,1,1,1,10,461,232,107,200,21.9663546081504,3.22328255435346,25515930.2100005,2300000,576.711478338881,548.699076930943,537.601383883702,547.440060846474
19,8,5,0.6,8,0.4,0,8,-0.6,0.8,0.9,1,1,1,1,1,1,22,230,316,136,318,18.8264787311782,2.76177558294347,49646377.8300004,2300000,487.176604345132,483.09345060941,471.01969370256,472.113661342898
16,8,5,0.6,8,0,0.4,10,-0.6,1,0.9,1,1,1,1,1,1,2,935,26,22,17,42.128654919852,6.29915338349634,6951186.19999998,2300000,1872.69138505911,155.709855377159,153.151734470533,155.949425093201
9,8,5,0.6,8,0,0.4,8,-1,0.8,0.9,1,1,1,1,1,1,25,102,384,104,410,18.0813403222798,2.65230501692197,55288102.0699982,2300000,472.025086734943,457.546810682342,445.713539422403,450.647333160314
3,8,5,0.6,8,0,0,8,-0.6,0.8,0.9,1,1,1,1,1,1,17,336,250,137,277,18.9844794636895,2.78867967542221,40016109.6700021,2300000,486.827632716251,491.112045893221,487.252246787854,481.729814602674
3,8,5,0.6,8,0,0,8,-0.6,0.8,0.9,1,1,1,1,1,1,18,227,312,127,334,18.3481760606974,2.6879977003176,41905586.2100023,2300000,463.416057332649,480.16960924305,467.45923055286,478.431642871442
20,8,5,0.6,8,0.4,0,8,-0.6,1,0.9,1,1,1,1,1,1,11,477,209,115,199,21.8857840607045,3.21719055469518,27738409.2800015,2300000,569.972740556372,546.100132091842,549.970608374308,556.435588977476
19,8,5,0.6,8,0.4,0,8,-0.6,0.8,0.9,1,1,1,1,1,1,23,215,309,152,324,18.2955924996427,2.68654104961475,51503515.4800006,2300000,475.475205598982,462.729905077315,457.916611174482,461.01592814922
9,8,5,0.6,8,0,0.4,8,-1,0.8,0.9,1,1,1,1,1,1,26,96,371,110,423,17.6204705984473,2.58690949082256,57066655.6599976,2300000,461.386827470894,442.024732019232,435.430230099077,439.711800410797
3,8,5,0.6,8,0,0,8,-0.6,0.8,0.9,1,1,1,1,1,1,19,282,294,131,293,19.1712102582196,2.81797404864336,43855853.9500012,2300000,498.320644193661,485.667775041371,484.96683019134,481.312490573628
20,8,5,0.6,8,0.4,0,8,-0.6,1,0.9,1,1,1,1,1,1,12,421,206,139,234,20.7638740784748,3.04674351372594,29861998.7300002,2300000,532.357049769342,531.413487770569,525.270950899592,534.547961560498
16,8,5,0.6,8,0,0.4,10,-0.6,1,0.9,1,1,1,1,1,1,3,905,33,31,31,40.5939836804337,6.06392191980109,9316602.34999992,2300000,1759.5281987265,201.946785958052,200.736984138417,203.204181177034
9,8,5,0.6,8,0,0.4,8,-1,0.8,0.9,1,1,1,1,1,1,27,90,386,121,403,17.9264400536696,2.63389954174971,58877996.2499947,2300000,469.817578005535,448.682112551723,445.799327564876,447.041571877866
3,8,5,0.6,8,0,0,8,-0.6,0.8,0.9,1,1,1,1,1,1,20,177,329,139,355,18.7349680657101,2.74855016391378,45777474.5999977,2300000,478.080260450578,482.921812150655,476.566047471152,484.052529927614
19,8,5,0.6,8,0.4,0,8,-0.6,0.8,0.9,1,1,1,1,1,1,24,175,346,140,339,18.3292988972456,2.68803802907727,53361925.1399992,2300000,475.36814987092,467.014580829769,454.968415986591,461.058513312721
20,8,5,0.6,8,0.4,0,8,-0.6,1,0.9,1,1,1,1,1,1,13,428,203,125,244,20.6503828582114,3.02789805684882,31967780.4000001,2300000,530.739125701766,530.4393090629,517.988349282057,526.614885953279
16,8,5,0.6,8,0,0.4,10,-0.6,1,0.9,1,1,1,1,1,1,4,875,41,30,54,39.2365146886999,5.85481305770264,11682973.89,2300000,1667.70951949589,234.778778446385,229.922880456149,233.960361601581
9,8,5,0.6,8,0,0.4,8,-1,0.8,0.9,1,1,1,1,1,1,28,88,383,108,421,16.9275412770767,2.48487090324711,60586691.0599966,2300000,442.843392964015,422.174340221469,417.307950239571,426.369126574946
3,8,5,0.6,8,0,0,8,-0.6,0.8,0.9,1,1,1,1,1,1,21,207,324,119,350,19.1097528476624,2.80740516764437,47711117.3200006,2300000,499.631073367513,479.83677098767,476.347091014712,477.827784630105
19,8,5,0.6,8,0.4,0,8,-0.6,0.8,0.9,1,1,1,1,1,1,25,188,340,147,325,17.9824657491087,2.64206058595314,55179384.6799986,2300000,471.08843681439,450.477176291291,447.405346538524,448.488580355796
20,8,5,0.6,8,0.4,0,8,-0.6,1,0.9,1,1,1,1,1,1,14,398,218,117,267,20.1616317141542,2.95743833881202,34033775.9700017,2300000,515.240987522264,522.763628048943,512.461330240599,515.529624188194
16,8,5,0.6,8,0,0.4,10,-0.6,1,0.9,1,1,1,1,1,1,5,836,63,47,54,36.8970170583751,5.49817239313617,14061102.1500002,2300000,1507.77691255298,292.540387593731,288.80703891533,289.003920937961
9,8,5,0.6,8,0,0.4,8,-1,0.8,0.9,1,1,1,1,1,1,29,89,381,138,392,16.3236946411383,2.39667661022309,62235160.069994,2300000,427.249706847979,410.189486013415,404.070444842691,406.959372295914
19,8,5,0.6,8,0.4,0,8,-0.6,0.8,0.9,1,1,1,1,1,1,26,157,340,150,353,17.5095846534519,2.56920925053959,56952254.159998,2300000,455.687024256604,442.929853515653,434.318907914232,439.933694313511
20,8,5,0.6,8,0.4,0,8,-0.6,1,0.9,1,1,1,1,1,1,15,389,241,106,264,19.9044344183384,2.92112694439395,36069289.1300032,2300000,511.016119608668,513.880960782393,505.251625336671,505.364454272267
3,8,5,0.6,8,0,0,8,-0.6,0.8,0.9,1,1,1,1,1,1,22,135,366,129,370,18.7780601210588,2.75880148007224,49623882.75,2300000,486.268919503651,475.748547926197,474.472545773541,476.27541679661
19,8,5,0.6,8,0.4,0,8,-0.6,0.8,0.9,1,1,1,1,1,1,27,141,353,171,335,17.9999115742892,2.64246670545545,58765005.8899948,2300000,472.894095831863,451.842978655756,443.081212882963,444.933442629419
19,8,5,0.6,8,0.4,0,8,-0.6,0.8,0.9,1,1,1,1,1,1,28,143,349,158,350,16.8983319269886,2.47901642047667,60462531.6999972,2300000,444.373008763601,420.827963856819,411.364518685004,420.960318694576
16,8,5,0.6,8,0,0.4,10,-0.6,1,0.9,1,1,1,1,1,1,6,791,77,49,83,34.4665423766526,5.12597202986845,16429620.8000001,2300000,1348.45897747212,340.57739188873,336.021560339067,343.460720300087
20,8,5,0.6,8,0.4,0,8,-0.6,1,0.9,1,1,1,1,1,1,16,352,266,128,254,19.498920158568,2.864313801767,38070480.0500038,2300000,499.292514153505,502.180501075029,500.512912357515,499.204992413951
9,8,5,0.6,8,0,0.4,8,-1,0.8,0.9,1,1,1,1,1,1,30,82,389,137,392,16.510336030656,2.4212772986037,63900031.1999957,2300000,431.473827432351,415.690864049313,404.783375716258,412.923062802079
