BehaviorSpace results (NetLogo 6.3.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,
abm_milk_choice_upload.nlogo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
experimentCamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/25/2024 13:28:51:278 +0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,,,,,,,
-25,25,-25,25,,,,,,,,,,,,,,,,,,,,,,,,,
[run number],habit-threshold,p-interact,incumbent-initial-habit,social-blindness,cognitive-dissonance-threshold,network-parameter,social-conformity,social-susceptibility,justification,memory-lifetime,oat-health-mean-initial,oat-env-mean-initial,soy-health-mean-initial,soy-env-mean-initial,almond-health-mean-initial,almond-env-mean-initial,[step],count turtles with [color = red],count turtles with [color = green],count turtles with [color = white],count turtles with [color = yellow],mean-health-impact,mean-env-impact,total-milk,mean-incum,mean-oat,mean-almond,mean-soy
5,8,0.6,8,0,0,10,-1,0.8,0.9,5,1,1,1,1,1,1,5,808,66,43,83,36.6095656829593,1086.7049758074,14061400.3900003,1488.52953000511,297.212173706093,295.231574401874,297.538051886924
7,8,0.6,8,0,0,10,-0.6,0.8,0.9,5,1,1,1,1,1,1,5,837,54,49,60,37.0328946846927,1100.46977369719,14046541.1900002,1518.42946508352,285.235091627169,283.234127574314,286.940745714992
4,8,0.6,8,0,0,8,-0.6,1,0.9,5,1,1,1,1,1,1,33,68,230,82,620,16.504564312702,408.525070232286,68699528.1900016,406.651386021321,416.443719712861,303.171289326863,489.215054938955
10,8,0.6,8,0,0.4,8,-1,1,0.9,5,1,1,1,1,1,1,8,367,40,548,45,24.2466795426623,720.210582565925,21059298.9899995,722.60024444583,501.167784676072,584.733219972794,497.103890905303
9,8,0.6,8,0,0.4,8,-1,0.8,0.9,5,1,1,1,1,1,1,9,144,48,162,646,22.8668511377672,595.714851716259,23361490.9099997,574.693097272305,554.06591288413,484.378742808123,665.91551703544
6,8,0.6,8,0,0,10,-1,1,0.9,5,1,1,1,1,1,1,5,839,56,32,73,37.1623583522115,1105.74542414665,14018251.7000002,1528.82802248791,278.030977166408,280.700725328227,284.248795017457
11,8,0.6,8,0,0.4,8,-0.6,0.8,0.9,5,1,1,1,1,1,1,8,347,46,554,53,23.8151603235802,709.010116898851,21115799.2299995,696.560712591979,504.881035221291,598.246533619536,505.651188567193
2,8,0.6,8,0,0,8,-1,1,0.9,5,1,1,1,1,1,1,9,123,696,151,30,23.0685488259451,595.911726517958,23333119.6999998,577.11489880788,668.835722384393,473.998391563101,556.952007244628
4,8,0.6,8,0,0,8,-0.6,1,0.9,5,1,1,1,1,1,1,34,66,102,578,254,15.2926314565053,445.399727013699,70281245.0799971,401.543063929858,388.606149351302,424.252806276302,367.314870442538
8,8,0.6,8,0,0,10,-0.6,1,0.9,5,1,1,1,1,1,1,8,301,49,607,43,24.2242366472261,727.040740914665,21034131.7599995,730.991259891923,488.405256374866,591.243283963385,485.816199769825
