BehaviorSpace results (NetLogo 6.3.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,
abm_milk_choice_upload.nlogo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
experimentCampGrid3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/25/2024 14:46:23:017 +0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,,,,,,,
-25,25,-25,25,,,,,,,,,,,,,,,,,,,,,,,,,
[run number],habit-threshold,memory-lifetime,p-interact,incumbent-initial-habit,social-blindness,cognitive-dissonance-threshold,network-parameter,social-conformity,social-susceptibility,justification,oat-health-mean-initial,oat-env-mean-initial,soy-health-mean-initial,soy-env-mean-initial,almond-health-mean-initial,almond-env-mean-initial,[step],count turtles with [color = red],count turtles with [color = green],count turtles with [color = white],count turtles with [color = yellow],mean-health-impact,mean-env-impact,total-milk,mean-incum,mean-oat,mean-almond,mean-soy
11,8,5,0,8,0,0.4,0,-0.6,0.6,0.9,1,1,1,1,1,1,7,751,86,64,99,33.4702038245123,986.996197059462,18611937.4899996,1298.40049135312,341.978045665864,344.397229820549,347.699233160468
12,8,5,0,8,0,0.4,0,-0.6,1,0.9,1,1,1,1,1,1,8,290,29,633,48,25.4154414330959,765.395443484683,20914355.6399996,812.863766830043,455.396334028119,559.880552817529,460.856846324309
9,8,5,0,8,0,0.4,0,-1,0.6,0.9,1,1,1,1,1,1,9,120,837,9,34,23.8864564834947,594.042283580219,23176729.3299999,608.667818960116,693.713568766224,411.499818821855,556.188793451805
3,8,5,0,8,0,0,0,-0.6,0.6,0.9,1,1,1,1,1,1,8,291,32,638,39,25.6148152797627,772.12827918532,20889977.1099996,826.198771901971,452.764420089374,555.911025007458,454.231283001198
4,8,5,0,8,0,0,0,-0.6,1,0.9,1,1,1,1,1,1,8,289,40,623,48,25.2886619079738,759.716530028394,20919238.6199996,802.98393122009,461.860985280925,560.536311881171,463.589271617814
2,8,5,0,8,0,0,0,-1,1,0.9,1,1,1,1,1,1,9,123,31,9,837,23.8646988064248,592.600984152063,23161254.2699999,614.297769709015,556.411857455445,405.449151035411,693.911221800127
10,8,5,0,8,0,0.4,0,-1,1,0.9,1,1,1,1,1,1,13,124,31,2,843,22.2750756546232,537.342704337474,31783177.3900001,567.08074897402,531.390645254596,344.726389613383,654.892216158001
6,8,5,0,8,0,0,2,-1,1,0.9,1,1,1,1,1,1,5,764,91,53,92,36.9159374695353,1096.49483552652,14037974.0500003,1509.96831711092,290.512162916081,286.299122260383,288.211777712615
7,8,5,0,8,0,0,2,-0.6,0.6,0.9,1,1,1,1,1,1,6,701,100,88,111,33.7554564811103,994.030922458397,16400025.72,1302.05138837593,357.064043132562,354.362344415589,355.55482407592
8,8,5,0,8,0,0,2,-0.6,1,0.9,1,1,1,1,1,1,6,681,105,85,129,32.9080533756519,965.958453149024,16451040.4500001,1243.37466179135,375.998288834025,375.407348067065,379.724191307558
11,8,5,0,8,0,0.4,0,-0.6,0.6,0.9,1,1,1,1,1,1,8,279,677,9,35,26.2323611334722,727.637870927195,20900921.4899996,808.239561468159,571.666230869134,451.184485211843,457.893722450864
5,8,5,0,8,0,0,2,-1,0.6,0.9,1,1,1,1,1,1,6,708,99,78,115,33.9306169413916,999.119215491335,16426149.5200001,1313.67561473384,352.113118367061,348.892966930752,353.189749968342
2,8,5,0,8,0,0,0,-1,1,0.9,1,1,1,1,1,1,10,123,31,805,41,21.2603925452771,675.065306819513,25359304.2700007,602.789428040137,549.316022797556,672.798006006029,373.146543156277
12,8,5,0,8,0,0.4,0,-0.6,1,0.9,1,1,1,1,1,1,9,104,855,4,37,23.9163363162559,592.915987996664,23184425.6399999,608.800202259124,696.211795141572,407.834015464902,557.223987134402
4,8,5,0,8,0,0,0,-0.6,1,0.9,1,1,1,1,1,1,9,116,838,6,40,23.9084597314734,593.585090812401,23189308.6199999,609.129616710587,694.36453155347,409.307116759663,557.26873497628
9,8,5,0,8,0,0.4,0,-1,0.6,0.9,1,1,1,1,1,1,10,118,45,803,34,21.0663592682091,670.577960172705,25374779.3300007,601.288695969151,374.693859035558,672.783948346491,549.283496648799
6,8,5,0,8,0,0,2,-1,1,0.9,1,1,1,1,1,1,6,725,107,64,104,34.3967168865691,1016.40458061098,16402600.6500001,1347.71935373335,337.880254528738,339.789680927568,339.237310810345
10,8,5,0,8,0,0.4,0,-1,1,0.9,1,1,1,1,1,1,14,116,38,800,46,19.8376509272942,624.034489741774,33842097.3900019,554.105512142702,529.88747370593,623.852600609551,351.074413541818
7,8,5,0,8,0,0,2,-0.6,0.6,0.9,1,1,1,1,1,1,7,651,142,78,129,30.4078932398203,883.183022083206,18744811.4599996,1086.18378372242,424.762163649063,413.649147460001,420.190645168518
3,8,5,0,8,0,0,0,-0.6,0.6,0.9,1,1,1,1,1,1,9,119,843,3,35,23.985087722034,594.893166078087,23160047.1099999,613.075855166266,696.370101124957,405.975499464627,554.648544244149
11,8,5,0,8,0,0.4,0,-0.6,0.6,0.9,1,1,1,1,1,1,9,118,54,792,36,21.7071035446689,682.744678579577,23170991.4899999,609.375571637114,419.595976554639,684.990694738312,556.107757069934
5,8,5,0,8,0,0,2,-1,0.6,0.9,1,1,1,1,1,1,7,638,141,82,139,29.9153277286428,868.629028843784,18772643.4399996,1054.11215958081,433.523562532057,427.657895491374,431.200302395753
2,8,5,0,8,0,0,0,-1,1,0.9,1,1,1,1,1,1,11,140,30,2,828,23.6494465522438,573.048120107358,27577174.2700017,607.891944994479,554.993494496167,364.443175311514,690.541385197841
8,8,5,0,8,0,0,2,-0.6,1,0.9,1,1,1,1,1,1,7,628,145,90,137,29.2913315706528,847.877219354214,18800120.2599996,1011.20891534276,449.608058280012,442.375838154713,445.88699822251
9,8,5,0,8,0,0.4,0,-1,0.6,0.9,1,1,1,1,1,1,11,136,833,3,28,23.7592471478919,574.959288991307,27592649.3300017,606.135353416889,691.600432623533,365.010411307305,555.123802652271
10,8,5,0,8,0,0.4,0,-1,1,0.9,1,1,1,1,1,1,15,117,38,1,844,21.528353293108,516.069559687305,35872447.3900034,543.91715160427,525.54136582968,330.130149082451,630.761333483598
5,8,5,0,8,0,0,2,-1,0.6,0.9,1,1,1,1,1,1,8,277,62,612,49,23.8337713916894,713.522957234473,21068615.0699995,704.618031946103,495.061322232507,598.442483691773,497.849792129617
4,8,5,0,8,0,0,0,-0.6,1,0.9,1,1,1,1,1,1,10,123,39,803,35,21.0740890117882,671.056571793814,25387358.6200007,602.089133649125,372.65575541519,672.875068723653,550.430042212034
9,8,5,0,8,0,0.4,0,-1,0.6,0.9,1,1,1,1,1,1,12,126,45,799,30,20.148431415757,639.431342642232,29701549.3300002,571.195647943242,360.353843922697,644.095121632542,533.255386501517
